years,gics_sector,ticker,avg_daily_close_change,avg_adj_close
2016,Communication Services,WBD,0.00030062217442807995,26.717936477963885
2016,Consumer Discretionary,AAP,0.0006092286853729004,149.89170752631293
2016,Consumer Discretionary,AMZN,0.0005862301699323722,699.5231348673502
2016,Consumer Discretionary,EBAY,0.0004930005970115144,25.890187861427428
2016,Consumer Discretionary,HAS,0.0007764520748340594,68.6007043596298
2016,Consumer Discretionary,HD,0.0002075982316239561,113.63711923266214
2016,Consumer Discretionary,KMX,0.0009520493514502699,52.88690482245551
2016,Consumer Discretionary,LEN,-0.0003746834485015419,42.10213069310264
2016,Consumer Discretionary,ROST,0.0009104501472000776,56.54146822672042
2016,Consumer Discretionary,TGT,0.00021209601462803844,62.413825352986656
2016,Consumer Discretionary,TJX,0.00035403345709146967,34.84673513684954
2016,Consumer Discretionary,TSLA,-0.00016095180754604108,41.953452466026185
2016,Consumer Discretionary,VFC,-0.00038017494833372844,48.75457383715917
2016,Consumer Staples,ADM,0.0011588398904174675,34.072434092324876
2016,Consumer Staples,CAG,0.0009195705064286869,29.98999852225894
2016,Consumer Staples,CLX,-6.970875974187556e-05,108.69588982112823
2016,Consumer Staples,EL,-0.00043085038850813596,83.69212280757843
2016,Consumer Staples,HRL,-0.00032667702714857185,33.77316605098664
2016,Consumer Staples,HSY,0.0008146690785485018,84.6127098325699
2016,Consumer Staples,KMB,-0.00026748164838433935,104.90294068957132
2016,Consumer Staples,MO,0.0007865771856819116,44.957434472583586
2016,Consumer Staples,PEP,0.00033401980610615385,87.55532867189437
2016,Consumer Staples,SJM,0.0003108225662937996,113.03643517267136
2016,Consumer Staples,SYY,0.0013766847365568823,42.15610106029208
2016,Consumer Staples,WBA,4.692551265908639e-05,67.43834156460233
2016,Energy,BKR,0.00171717475728311,29.173589403667147
2016,Energy,CTRA,0.0014847303825925853,19.58558084094335
2016,Energy,CVX,0.0013499334265205797,76.9297953257485
2016,Energy,DVN,0.002180174204817913,30.24541947576735
2016,Energy,EOG,0.001706993072090339,72.97292038751027
2016,Energy,HES,0.0015393258225945958,47.33874253621177
2016,Energy,KMI,0.001817170812982102,14.32361866557409
2016,Energy,OKE,0.004049184219638475,27.992244837776063
2016,Energy,OXY,0.0005119491891819643,58.06736514681862
2016,Energy,PXD,0.0016960368202148083,144.65581566946847
2016,Energy,SLB,0.0009632383558745224,64.15379634736077
2016,Energy,WMB,0.002402161038345164,16.81862603482746
2016,Financials,AFL,0.0007454513068383525,29.3931696150038
2016,Financials,AIG,0.0003931535572502307,49.034215669783336
2016,Financials,AIZ,0.0008007991837952046,74.14451008751278
2016,Financials,ALL,0.0008224089268716868,59.65020935119144
2016,Financials,CMA,0.002221483916146455,37.68061065673828
2016,Financials,FDS,0.0001599304610695427,149.50185388232035
2016,Financials,FRC,0.001503896904156832,69.4631824644785
2016,Financials,GS,0.0013321431866622614,152.8873400612483
2016,Financials,IVZ,-1.9827889197015883e-05,22.63319375023009
2016,Financials,SCHW,0.0009886218890316151,27.94238341043866
2016,Financials,TFC,0.0011010516098836584,30.371899551815456
2016,Financials,WFC,0.0002909511591275582,41.153764891246006
2016,Health Care,ABC,-0.0008784467119078353,75.1520542265877
2016,Health Care,AMGN,-0.00019263322782484875,131.20212364196777
2016,Health Care,ANTM,0.000332802291835563,123.56004914783296
2016,Health Care,BAX,0.0007299160476127856,41.10614822024391
2016,Health Care,BIIB,-6.18295344508804e-05,280.19896831209695
2016,Health Care,HOLX,0.0002861963824656963,36.469920582241485
2016,Health Care,IDXX,0.002016954658469117,94.53563493395609
